# name fluence width dm_obs dm_exc_ne2001 dm_exc_ymw16
FRB20190330B 5.861767 2.949120 668.000189 618.954587 625.704978
FRB20190401A 8.123034 11.796478 783.068767 740.413829 747.189224
FRB20190402A 0.585589 16.711677 1291.344911 1264.940226 1271.394528
FRB20190403G 1.396216 4.915200 865.229001 699.761712 619.245887
FRB20190403A 3.190000 1.966080 518.651009 464.276745 467.352312
FRB20190403B 20.932764 11.796481 292.462156 238.271052 244.478818
FRB20190403C 0.997758 4.915199 934.743437 895.816842 902.748041
FRB20190403D 1.279992 1.966080 613.512298 550.485436 549.521885
FRB20190403E 76.000000 18.677762 225.791574 175.286345 179.839632
FRB20190403F 6.414412 14.745601 664.071306 596.631008 597.430253
FRB20190404A 4.467907 3.932160 1353.655122 1313.546582 1325.962842
FRB20190404B 11.463124 1.966080 489.408417 444.591729 453.420813
FRB20190405A 2.029872 15.728641 424.918106 377.672993 385.242520
FRB20190405B 5.673234 3.932160 1113.710819 1059.939097 1062.873485
FRB20190408A 1.634188 1.966081 863.078307 817.164834 822.735276
FRB20190409A 8.517268 1.966080 1791.869420 1706.983431 1665.645112
FRB20190409B 6.300645 31.457275 285.487818 237.602699 244.202909
FRB20190409C 1.894205 1.966081 674.637519 631.595236 637.675266
FRB20190409D 2.736547 3.932159 1300.104959 1245.593011 1253.578011
FRB20190410A 7.386285 98.303985 283.801433 154.151694 166.040275
FRB20190410B 2.709865 1.966081 642.176469 563.480935 580.401909
FRB20190411A 1.233591 1.966080 460.578541 399.942526 399.686045
FRB20190411B 3.327415 3.932160 1229.478962 1194.191217 1206.870659
FRB20190411C 10.704997 2.949120 233.656982 194.888773 203.310576
FRB20190411C 10.704997 2.949120 233.656982 194.888773 203.310576
FRB20190412A 7.054913 3.932160 364.682035 326.912419 333.809448
FRB20190412B 16.088041 57.999360 375.985436 108.711697 106.824464
FRB20190414A 0.223361 4.915200 811.900065 791.658668 793.367047
FRB20190414B 3.589223 10.813440 506.038251 468.058344 475.180798
FRB20190415A 4.376111 3.932160 633.279351 596.197726 604.193265
FRB20190415B 24.220180 36.372480 723.018132 567.691706 553.267242
FRB20190415C 0.770000 4.920000 650.182000 481.700000 413.800000
FRB20190416A 2.905029 7.864320 2287.109536 2247.927337 2260.197255
FRB20190416B 1.625739 3.932160 575.332181 554.804206 563.477562
FRB20190417B 9.810251 46.202880 1161.183203 1126.165512 1135.063603
FRB20190417C 11.316671 1.966080 320.290230 197.978012 145.936286
FRB20190418A 2.659559 2.949120 184.456478 114.235528 98.447944
FRB20190419A 0.834005 1.966080 439.730864 377.406421 375.880344
FRB20190419B 6.242855 1.966080 165.117253 112.547516 116.428664
FRB20190420B 16.687638 5.898240 846.860883 779.351512 774.291850
FRB20190420A 3.676235 2.949120 608.854061 542.925771 538.346917
FRB20190420C 3.472026 12.779520 630.390895 594.603271 600.790111
FRB20190421B 17.075089 2.949120 392.103688 295.428734 268.778431
FRB20190422B 1.570000 13.760000 977.386000 943.300000 955.700000
FRB20190422A 9.349314 19.660799 452.863092 373.066681 367.134970
FRB20190422A 9.349314 19.660799 452.863092 373.066681 367.134970
FRB20190423A 43.297653 6.881280 242.655788 211.089138 220.213401
FRB20190423A 43.297653 6.881280 242.655788 211.089138 220.213401
FRB20190423B 6.438583 8.847361 584.765532 105.111450 164.516049
FRB20190423C 4.566972 5.898240 855.647028 795.521636 795.523035
FRB20190423D 17.368421 10.813440 496.245294 429.034276 424.527806
FRB20190424A 1.902179 1.966080 758.607904 723.182168 732.247939
FRB20190425A 33.268145 1.966080 128.137281 79.229286 89.232154
FRB20190425B 3.545213 3.932160 1031.559239 978.087384 981.460723
FRB20190426A 1.655827 1.966080 340.593231 284.608393 286.584618
FRB20190427A 10.470857 1.966080 455.828653 370.389735 329.440541
FRB20190428A 7.422478 4.915200 969.429240 942.420469 949.477964
FRB20190429A 1.762055 1.966080 470.860063 413.246311 417.488437
FRB20190429B 6.519946 15.728640 295.603307 253.467052 263.073280
FRB20190430B 1.318815 13.762560 2619.349108 2582.748495 2589.749760
FRB20190430A 3.827998 21.626880 339.651968 282.386946 284.024146
FRB20190501B 3.187051 4.915200 784.007482 740.524538 747.461633
FRB20190501B 3.187051 4.915200 784.007482 740.524538 747.461633
FRB20190502A 11.982541 3.932160 625.724591 590.819086 600.466483
FRB20190502B 10.381997 3.932160 918.537073 884.456978 891.948758
FRB20190502C 4.307765 1.966080 396.876875 348.979157 354.764528
FRB20190515A 16.753274 47.185921 450.433147 293.347754 226.163225
FRB20190515B 13.360596 4.915200 822.237676 789.670495 798.316445
FRB20190515D 8.959845 2.949120 426.042630 378.210399 366.932106
